PR,3632.03,3632.03,2793.87,2793.87,2793.87,3212.95,3073.26,3352.64,3632.03,3492.34,3632.03,3632.03,3632.03,3352.64,3352.64,3352.64,2235.09,3352.64,3073.26,2235.09,3632.03,2793.87,3632.03,3632.03,3352.64,2235.09,3352.64,"6.846.676,0","0,0","6.846.676,0"
RJ,3803.13,3803.13,2925.48,2925.48,2925.48,3364.3,3218.03,3510.58,3803.13,3656.85,3803.13,3803.13,3803.13,3510.58,3510.58,3510.58,2340.39,3510.58,3218.03,2340.39,3803.13,2925.48,3803.13,3803.13,3510.58,2340.39,3510.58,8174728.1,"0,0",8174728.1
RN,3388.92,3388.92,2606.86,2606.86,2606.86,2997.89,2867.55,3128.23,3388.92,3258.58,3388.92,3388.92,3388.92,3128.23,3128.23,3128.23,2085.49,3128.23,2867.55,2085.49,3388.92,2606.86,3388.92,3388.92,3128.23,2085.49,3128.23,1999548.2,"0,0",1999548.2
RO,3632.22,3632.22,2794.02,2794.02,2794.02,3213.12,3073.42,3352.82,3632.22,3492.52,3632.22,3632.22,3632.22,3352.82,3352.82,3352.82,2235.21,3352.82,3073.42,2235.21,3632.22,2794.02,3632.22,3632.22,3352.82,2235.21,3352.82,1250561.8,"0,0",1250561.8
RR,5316.99,5316.99,4089.99,4089.99,4089.99,4703.49,4498.99,4907.99,5316.99,5112.49,5316.99,5316.99,5316.99,4907.99,4907.99,4907.99,3271.99,4907.99,4498.99,3271.99,5316.99,4089.99,5316.99,5316.99,4907.99,3271.99,4907.99,601964.2,"0,0",601964.2
RS,4423.8,4423.8,3402.92,3402.92,3402.92,3913.36,3743.22,4083.51,4423.8,4253.66,4423.8,4423.8,4423.8,4083.51,4083.51,4083.51,2722.34,4083.51,3743.22,2722.34,4423.8,3402.92,4423.8,4423.8,4083.51,2722.34,4083.51,7487538.1,"0,0",7487538.1
SC,4150.93,4150.93,3193.02,3193.02,3193.02,3671.97,3512.32,3831.63,4150.93,3991.28,4150.93,4150.93,4150.93,3831.63,3831.63,3831.63,2554.42,3831.63,3512.32,2554.42,4150.93,3193.02,4150.93,4150.93,3831.63,2554.42,3831.63,4529077.7,"0,0",4529077.7
SE,3913.37,3913.37,3010.28,3010.28,3010.28,3461.83,3311.31,3612.34,3913.37,3762.85,3913.37,3913.37,3913.37,3612.34,3612.34,3612.34,2408.23,3612.34,3311.31,2408.23,3913.37,3010.28,3913.37,3913.37,3612.34,2408.23,3612.34,1479936.8,"0,0",1479936.8
SP,4407.65,4407.65,3390.5,3390.5,3390.5,3899.08,3729.55,4068.6,4407.65,4238.13,4407.65,4407.65,4407.65,4068.6,4068.6,4068.6,2712.4,4068.6,3729.55,2712.4,4407.65,3390.5,4407.65,4407.65,4068.6,2712.4,4068.6,30513993.7,"0,0",30513993.7
TO,4142.26,4142.26,3186.35,3186.35,3186.35,3664.31,3504.99,3823.62,4142.26,3982.94,4142.26,4142.26,4142.26,3823.62,3823.62,3823.62,2549.08,3823.62,3504.99,2549.08,4142.26,3186.35,4142.26,4142.26,3823.62,2549.08,3823.62,1344969.7,"0,0",1344969.7
