PR,4733.95,4733.95,3641.5,3641.5,3641.5,4187.73,4005.65,4369.8,4733.95,4551.88,4733.95,4733.95,4733.95,4369.8,4369.8,4369.8,2913.2,4369.8,4005.65,2913.2,4733.95,3641.5,4733.95,4733.95,4733.95,4369.8,2913.2,4369.8,8853910.4,"0,0",8853910.4
RJ,4088.71,4088.71,3145.16,3145.16,3145.16,3616.93,3459.67,3774.19,4088.71,3931.45,4088.71,4088.71,4088.71,3774.19,3774.19,3774.19,2516.13,3774.19,3459.67,2516.13,4088.71,3145.16,4088.71,4088.71,4088.71,3774.19,2516.13,3774.19,8394175.2,"0,0",8394175.2
RN,4128.64,4128.64,3175.87,3175.87,3175.87,3652.26,3493.46,3811.05,4128.64,3969.84,4128.64,4128.64,4128.64,3811.05,3811.05,3811.05,2540.7,3811.05,3493.46,2540.7,4128.64,3175.87,4128.64,4128.64,4128.64,3811.05,2540.7,3811.05,2283685.2,"0,0",2283685.2
RO,4321.18,4321.18,3323.99,3323.99,3323.99,3822.59,3656.39,3988.79,4321.18,4154.99,4321.18,4321.18,4321.18,3988.79,3988.79,3988.79,2659.19,3988.79,3656.39,2659.19,4321.18,3323.99,4321.18,4321.18,4321.18,3988.79,2659.19,3988.79,1396489.9,"0,0",1396489.9
RR,6079.74,6079.74,4676.72,4676.72,4676.72,5378.23,5144.39,5612.06,6079.74,5845.9,6079.74,6079.74,6079.74,5612.06,5612.06,5612.06,3741.38,5612.06,5144.39,3741.38,6079.74,4676.72,6079.74,6079.74,6079.74,5612.06,3741.38,5612.06,701302.5,"0,0",701302.5
RS,5389.36,5389.36,4145.66,4145.66,4145.66,4767.51,4560.23,4974.8,5389.36,5182.08,5389.36,5389.36,5389.36,4974.8,4974.8,4974.8,3316.53,4974.8,4560.23,3316.53,5389.36,4145.66,5389.36,5389.36,5389.36,4974.8,3316.53,4974.8,8893376.8,"0,0",8893376.8
SC,4965.69,4965.69,3819.76,3819.76,3819.76,4392.72,4201.73,4583.71,4965.69,4774.7,4965.69,4965.69,4965.69,4583.71,4583.71,4583.71,3055.81,4583.71,4201.73,3055.81,4965.69,3819.76,4965.69,4965.69,4965.69,4583.71,3055.81,4583.71,5446983.9,"0,0",5446983.9
SE,4658.43,4658.43,3583.41,3583.41,3583.41,4120.92,3941.75,4300.09,4658.43,4479.26,4658.43,4658.43,4658.43,4300.09,4300.09,4300.09,2866.72,4300.09,3941.75,2866.72,4658.43,3583.41,4658.43,4658.43,4658.43,4300.09,2866.72,4300.09,1672695.4,"0,0",1672695.4
SP,4880.76,4880.76,3754.43,3754.43,3754.43,4317.59,4129.87,4505.32,4880.76,4693.04,4880.76,4880.76,4880.76,4505.32,4505.32,4505.32,3003.54,4505.32,4129.87,3003.54,4880.76,3754.43,4880.76,4880.76,4880.76,4505.32,3003.54,4505.32,32973929.7,"0,0",32973929.7
TO,4851.66,4851.66,3732.04,3732.04,3732.04,4291.85,4105.25,4478.45,4851.66,4665.05,4851.66,4851.66,4851.66,4478.45,4478.45,4478.45,2985.64,4478.45,4105.25,2985.64,4851.66,3732.04,4851.66,4851.66,4851.66,4478.45,2985.64,4478.45,1555922.1,"0,0",1555922.1
