AC,4106.04,4106.04,3158.5,3158.5,3158.5,3632.27,3474.35,3790.2,4106.04,3948.12,4106.04,4106.04,4106.04,3790.2,3790.2,3790.2,2526.8,3790.2,3474.35,2526.8,4106.04,3158.5,4106.04,4106.04,4106.04,3790.2,2526.8,3790.2,889732.9,"0,0",889732.9
AL,3804.53,3804.53,2926.56,2926.56,2926.56,3365.54,3219.21,3511.87,3804.53,3658.2,3804.53,3804.53,3804.53,3511.87,3511.87,3511.87,2341.25,3511.87,3219.21,2341.25,3804.53,2926.56,3804.53,3804.53,3804.53,3511.87,2341.25,3511.87,1938016.2,358687.3,2296703.5
AM,3804.53,3804.53,2926.56,2926.56,2926.56,3365.54,3219.21,3511.87,3804.53,3658.2,3804.53,3804.53,3804.53,3511.87,3511.87,3511.87,2341.25,3511.87,3219.21,2341.25,3804.53,2926.56,3804.53,3804.53,3804.53,3511.87,2341.25,3511.87,2405001.6,999996.5,3404998.1
AP,4581.77,4581.77,3524.44,3524.44,3524.44,4053.11,3876.88,4229.33,4581.77,4405.55,4581.77,4581.77,4581.77,4229.33,4229.33,4229.33,2819.55,4229.33,3876.88,2819.55,4581.77,3524.44,4581.77,4581.77,4581.77,4229.33,2819.55,4229.33,794598.9,"0,0",794598.9
BA,3804.53,3804.53,2926.56,2926.56,2926.56,3365.54,3219.21,3511.87,3804.53,3658.2,3804.53,3804.53,3804.53,3511.87,3511.87,3511.87,2341.25,3511.87,3219.21,2341.25,3804.53,2926.56,3804.53,3804.53,3804.53,3511.87,2341.25,3511.87,7589651.5,2280120.1,9869771.6
CE,3804.53,3804.53,2926.56,2926.56,2926.56,3365.54,3219.21,3511.87,3804.53,3658.2,3804.53,3804.53,3804.53,3511.87,3511.87,3511.87,2341.25,3511.87,3219.21,2341.25,3804.53,2926.56,3804.53,3804.53,3804.53,3511.87,2341.25,3511.87,4477230.1,1150982.9,5628212.9
DF,4796.03,4796.03,3689.26,3689.26,3689.26,4242.65,4058.18,4427.11,4796.03,4611.57,4796.03,4796.03,4796.03,4427.11,4427.11,4427.11,2951.41,4427.11,4058.18,2951.41,4796.03,3689.26,4796.03,4796.03,4796.03,4427.11,2951.41,4427.11,1876708.7,"0,0",1876708.7
ES,3795.48,3795.48,2919.6,2919.6,3029.98,3401.31,3253.43,3549.2,3844.96,3649.5,3795.48,3795.48,3795.48,3503.52,3503.52,3503.52,2335.68,3635.97,3211.56,2335.68,3795.48,2919.6,3844.96,3844.96,3844.96,3635.97,2335.68,3635.97,2450298.4,"0,0",2450298.4
GO,4335.62,4335.62,3335.09,3335.09,3335.09,3835.36,3668.6,4002.11,4335.62,4168.87,4335.62,4335.62,4335.62,4002.11,4002.11,4002.11,2668.07,4002.11,3668.6,2668.07,4335.62,3335.09,4335.62,4335.62,4335.62,4002.11,2668.07,4002.11,4273326.7,"0,0",4273326.7
MA,3804.53,3804.53,2926.56,2926.56,2926.56,3365.54,3219.21,3511.87,3804.53,3658.2,3804.53,3804.53,3804.53,3511.87,3511.87,3511.87,2341.25,3511.87,3219.21,2341.25,3804.53,2926.56,3804.53,3804.53,3804.53,3511.87,2341.25,3511.87,3251632.4,2660387.4,5912019.9
