AC,4612.5,4612.5,4080.29,3725.48,3548.07,4080.29,3902.88,4257.69,4612.5,4435.09,4612.5,4612.5,4612.5,4257.69,4257.69,4257.69,2838.46,4257.69,3902.88,2838.46,4612.5,3725.48,4612.5,4612.5,4612.5,4257.69,2838.46,4257.69,1035902.5,0,1035902.5
AL,4210.08,4210.08,3724.3,3400.45,3238.52,3724.3,3562.37,3886.23,4210.08,4048.15,4210.08,4210.08,4210.08,3886.23,3886.23,3886.23,2590.82,3886.23,3562.37,2590.82,4210.08,3400.45,4210.08,4210.08,4210.08,3886.23,2590.82,3886.23,2144934.5,413057.9,2557992.4
AM,4210.08,4210.08,3724.3,3400.45,3238.52,3724.3,3562.37,3886.23,4210.08,4048.15,4210.08,4210.08,4210.08,3886.23,3886.23,3886.23,2590.82,3886.23,3562.37,2590.82,4210.08,3400.45,4210.08,4210.08,4210.08,3886.23,2590.82,3886.23,2782099,1025284.2,3807383.2
AP,5420.9,5420.9,4795.41,4378.42,4169.92,4795.41,4586.91,5003.91,5420.9,5212.4,5420.9,5420.9,5420.9,5003.91,5003.91,5003.91,3335.94,5003.91,4586.91,3335.94,5420.9,4378.42,5420.9,5420.9,5420.9,5003.91,3335.94,5003.91,906747,0,906747
BA,4210.08,4210.08,3724.3,3400.45,3238.52,3724.3,3562.37,3886.23,4210.08,4048.15,4210.08,4210.08,4210.08,3886.23,3886.23,3886.23,2590.82,3886.23,3562.37,2590.82,4210.08,3400.45,4210.08,4210.08,4210.08,3886.23,2590.82,3886.23,8400634.7,2423919.1,10824553.9
CE,4210.08,4210.08,3724.3,3400.45,3238.52,3724.3,3562.37,3886.23,4210.08,4048.15,4210.08,4210.08,4210.08,3886.23,3886.23,3886.23,2590.82,3886.23,3562.37,2590.82,4210.08,3400.45,4210.08,4210.08,4210.08,3886.23,2590.82,3886.23,4914746.7,1393737.9,6308484.7
DF,5175.39,5175.39,4578.23,4180.12,3981.07,4578.23,4379.18,4777.28,5175.39,4976.34,5175.39,5175.39,5175.39,4777.28,4777.28,4777.28,3184.86,4777.28,4379.18,3184.86,5175.39,4180.12,5175.39,5175.39,5175.39,4777.28,3184.86,4777.28,2041818.2,0,2041818.2
ES,4497.4,4497.4,3978.47,3632.51,3459.54,3978.47,3805.49,4151.44,4497.4,4324.42,4497.4,4497.4,4497.4,4151.44,4151.44,4151.44,2767.63,4151.44,3805.49,2767.63,4497.4,3632.51,4497.4,4497.4,4497.4,4151.44,2767.63,4151.44,2853599.6,0,2853599.6
GO,4728.84,4728.84,4183.21,3819.45,3637.57,4183.21,4001.33,4365.09,4728.84,4546.97,4728.84,4728.84,4728.84,4365.09,4365.09,4365.09,2910.06,4365.09,4001.33,2910.06,4728.84,3819.45,4728.84,4728.84,4728.84,4365.09,2910.06,4365.09,4777687,0,4777687
MA,4210.08,4210.08,3724.3,3400.45,3238.52,3724.3,3562.37,3886.23,4210.08,4048.15,4210.08,4210.08,4210.08,3886.23,3886.23,3886.23,2590.82,3886.23,3562.37,2590.82,4210.08,3400.45,4210.08,4210.08,4210.08,3886.23,2590.82,3886.23,3644691.1,3016085.1,6660776.1
MG,4445.18,4445.18,3932.27,3590.34,3419.37,3932.27,3761.3,4103.24,4445.18,4274.21,4445.18,4445.18,4445.18,4103.24,4103.24,4103.24,2735.49,4103.24,3761.3,2735.49,4445.18,3590.34,4445.18,4445.18,4445.18,4103.24,2735.49,4103.24,14619545.2,0,14619545.2
MS,4818.61,4818.61,4262.62,3891.95,3706.62,4262.62,4077.28,4447.95,4818.61,4633.28,4818.61,4818.61,4818.61,4447.95,4447.95,4447.95,2965.3,4447.95,4077.28,2965.3,4818.61,3891.95,4818.61,4818.61,4818.61,4447.95,2965.3,4447.95,2477258.4,0,2477258.4
MT,4673.87,4673.87,4134.58,3775.05,3595.28,4134.58,3954.81,4314.34,4673.87,4494.11,4673.87,4673.87,4673.87,4314.34,4314.34,4314.34,2876.23,4314.34,3954.81,2876.23,4673.87,3775.05,4673.87,4673.87,4673.87,4314.34,2876.23,4314.34,3005584.7,0,3005584.7
PA,4210.08,4210.08,3724.3,3400.45,3238.52,3724.3,3562.37,3886.23,4210.08,4048.15,4210.08,4210.08,4210.08,3886.23,3886.23,3886.23,2590.82,3886.23,3562.37,2590.82,4210.08,3400.45,4210.08,4210.08,4210.08,3886.23,2590.82,3886.23,4208194.4,3340795.3,7548989.7
PB,4210.08,4210.08,3724.3,3400.45,3238.52,3724.3,3562.37,3886.23,4210.08,4048.15,4210.08,4210.08,4210.08,3886.23,3886.23,3886.23,2590.82,3886.23,3562.37,2590.82,4210.08,3400.45,4210.08,4210.08,4210.08,3886.23,2590.82,3886.23,2658897.6,146606.7,2805504.3
PE,4210.08,4210.08,3724.3,3400.45,3238.52,3724.3,3562.37,3886.23,4210.08,4048.15,4210.08,4210.08,4210.08,3886.23,3886.23,3886.23,2590.82,3886.23,3562.37,2590.82,4210.08,3400.45,4210.08,4210.08,4210.08,3886.23,2590.82,3886.23,5618171.8,456581.4,6074753.1
PI,4762.67,4762.67,4213.13,3846.78,3238.52,3724.3,3562.37,3886.23,4210.08,4579.49,4762.67,4762.67,4762.67,4396.31,4396.31,4396.31,1864.56,2796.84,4029.95,2930.88,4762.67,3846.78,4762.67,4762.67,4762.67,4396.31,1864.56,2796.84,2241181.1,695056.5,2936237.6
PR,4693.47,4693.47,4151.91,3790.88,3610.36,4151.91,3971.4,4332.43,4693.47,4512.95,4693.47,4693.47,4693.47,4332.43,4332.43,4332.43,2888.29,4332.43,3971.4,2888.29,4693.47,3790.88,4693.47,4693.47,4693.47,4332.43,2888.29,4332.43,8778454.3,0,8778454.3
RJ,4512.08,4512.08,3991.45,3644.37,3470.83,3991.45,3817.91,4165,4512.08,4338.54,4512.08,4512.08,4512.08,4165,4165,4165,2776.66,4165,3817.91,2776.66,4512.08,3644.37,4512.08,4512.08,4512.08,4165,2776.66,4165,9254577.4,0,9254577.4
RN,4485.99,4485.99,3968.37,3623.3,3450.76,3968.37,3795.84,4140.91,4485.99,4313.45,4485.99,4485.99,4485.99,4140.91,4140.91,4140.91,2760.61,4140.91,3795.84,2760.61,4485.99,3623.3,4485.99,4485.99,4485.99,4140.91,2760.61,4140.91,2435974.6,0,2435974.6
RO,4828.03,4828.03,4270.95,3899.57,3713.87,4270.95,4085.26,4456.65,4828.03,4642.34,4828.03,4828.03,4828.03,4456.65,4456.65,4456.65,2971.1,4456.65,4085.26,2971.1,4828.03,3899.57,4828.03,4828.03,4828.03,4456.65,2971.1,4456.65,1525977.8,0,1525977.8
RR,6355.67,6355.67,5622.32,5133.42,4888.97,5622.32,5377.87,5866.77,6355.67,6111.22,6355.67,6355.67,6355.67,5866.77,5866.77,5866.77,3911.18,5866.77,5377.87,3911.18,6355.67,5133.42,6355.67,6355.67,6355.67,5866.77,3911.18,5866.77,754870.9,0,754870.9
RS,5558.05,5558.05,4916.74,4489.2,4275.42,4916.74,4702.97,5130.51,5558.05,5344.28,5558.05,5558.05,5558.05,5130.51,5130.51,5130.51,3420.34,5130.51,4702.97,3420.34,5558.05,4489.2,5558.05,5558.05,5558.05,5130.51,3420.34,5130.51,9052780.7,0,9052780.7
SC,4957.04,4957.04,4385.08,4003.77,3813.11,4385.08,4194.42,4575.73,4957.04,4766.39,4957.04,4957.04,4957.04,4575.73,4575.73,4575.73,3050.49,4575.73,4194.42,3050.49,4957.04,4003.77,4957.04,4957.04,4957.04,4575.73,3050.49,4575.73,5629224.8,0,5629224.8
SE,4989.83,4989.83,4414.08,4030.25,3838.33,4414.08,4222.16,4606,4989.83,4797.91,4989.83,4989.83,4989.83,4606,4606,4606,3070.66,4606,4222.16,3070.66,4989.83,4030.25,4989.83,4989.83,4989.83,4606,3070.66,4606,1779192.4,0,1779192.4
SP,5081.85,5081.85,4495.48,4104.57,3909.11,4495.48,4300.02,4690.93,5081.85,4886.39,5081.85,5081.85,5081.85,4690.93,4690.93,4690.93,3127.29,4690.93,4300.02,3127.29,5081.85,4104.57,5081.85,5081.85,5081.85,4690.93,3127.29,4690.93,34212123.1,0,34212123.1
TO,5417.21,5417.21,4792.14,4375.44,4167.08,4792.14,4583.79,5000.5,5417.21,5208.85,5417.21,5417.21,5417.21,5000.5,5000.5,5000.5,3333.67,5000.5,4583.79,3333.67,5417.21,4375.44,5417.21,5417.21,5417.21,5000.5,3333.67,5000.5,1702063.5,0,1702063.5
