AC,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","24.656,0","7.259,0","36.750,0","12.167,0","1.937,0","23.542,0","7.308,0","4.098,0","272,0","5.432,0","3.780,0","36.895,0","13,0","5.098,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",645252224.57,0.622888979694
AL,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","6.967,0","0,0","36.751,0","1.116,0","3.124,0","78.193,0","5.302,0","8.475,0","2.465,0","2.301,0","674,0","31.111,0","0,0","1.959,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",655667550.79,0.256321148287
AM,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","69.871,0","2.460,0","115.006,0","6.144,0","26.112,0","146.257,0","32.034,0","13.797,0","33,0","3.835,0","1.281,0","30.262,0","0,0","4.779,0","0,0","0,0","0,0","0,0",194.5,"0,0","0,0","0,0","0,0","0,0","0,0",1681720046.62,0.441699709595
BA,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","1.418,0","121,0","124.852,0","3.747,0","23.722,0","415.011,0","24.018,0","13.773,0","45.668,0","3.985,0","2.095,0","123.896,0","17.685,0","13.255,0","0,0","0,0","0,0","0,0",667.5,"577,0","150,0","1.875,0","0,0","0,0","0,0",3074050071.26,0.283988616088
CE,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","988,0","0,0","15.690,0","0,0","150,0","240.375,0","12.757,0","24.068,0","52.208,0","1.008,0","2.038,0","23.071,0","19,0","5.135,0","0,0","0,0","0,0","0,0","48,0","0,0","0,0","76,0","0,0","0,0","0,0",1499781235.13,0.23774033185
ES,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","27.945,0","3.747,0","62.220,0","2.904,0","5.022,0","81.771,0","1.911,0","7.212,0","3.869,0","4.525,0",2898.5,"35.718,0","0,0","247,0","0,0","0,0","0,0","0,0","0,0","414,0","454,0","744,0","0,0","0,0","0,0",932993211.33,0.32695308586
GO,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","8.782,0","690,0","195.052,0","4.211,0","30.095,0","175.423,0","2.891,0","14.124,0","170,0","9.119,0",4227.5,"55.525,0","41,0","1.711,0","0,0","0,0","0,0","0,0","827,0",29.5,"28,0","0,0","0,0","0,0","0,0",2086271658.73,0.436669805524
MA,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","658,0","85,0","20.980,0","1.562,0","756,0","228.921,0","42.819,0","8.334,0","3.862,0","928,0",893.5,"24.111,0","225,0","11.730,0","0,0","0,0","0,0","0,0","0,0","275,0","250,0","762,0","0,0","0,0","0,0",1366187550.13,0.20510936271
MG,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","287.892,0","9.574,0","612.474,0","16.601,0","103.458,0","678.274,0","16.328,0","5.892,0","18.028,0","37.486,0",19884.5,"138.895,0","0,0","7.002,0","0,0","0,0","0,0","0,0","9.549,0","432,0","144,0","1.268,0","0,0","205,0","140,0",7624355286.21,0.521517951711
MS,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","39.957,0","3.321,0","75.668,0","4.123,0","4.806,0","74.254,0","5.557,0","4.317,0","4.326,0","4.250,0","2.044,0","24.088,0","55,0","966,0","0,0","0,0","0,0","0,0","2.827,0","20,0","115,0","76,0","0,0","0,0","0,0",1042298323.68,0.420746705497
MT,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","53.869,0","5.700,0","107.279,0","10.120,0","9.255,0","96.647,0","15.170,0","7.183,0","2.858,0","8.179,0","4.751,0","57.732,0","0,0","8.412,0","0,0","0,0","0,0","0,0","1.711,0","0,0","0,0","0,0","0,0","0,0","0,0",1546111105.85,0.514412759397
PA,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","51.360,0","1.034,0","114.928,0","11.500,0","3.570,0","287.909,0","22.050,0","7.406,0","5.688,0","6.170,0","4.458,0","65.593,0","864,0","583,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",2169643061.38,0.287408399797
PB,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","19.530,0","1.338,0","56.530,0","4.757,0","14.095,0","83.199,0","3.331,0","19.440,0","8.909,0","3.181,0",1438.5,"52.318,0","276,0","2.632,0","0,0","0,0","0,0","0,0","79,0","0,0","0,0","0,0","0,0","0,0","0,0",982724485.99,0.350284433593
PE,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","1.610,0","659,0","130.905,0","8.834,0","3.775,0","132.142,0","13.376,0","132.570,0","18.398,0","5.536,0","1.537,0","92.187,0","0,0","11.643,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",2062630670.56,0.339541479307
PI,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","1.384,0","0,0","27.774,0","190,0","7.722,0","69.108,0","5.237,0","24.356,0","15.546,0","3.797,0",1056.5,"128.482,0","4.813,0","476,0","0,0","0,0","0,0","0,0",129.5,"0,0","0,0","0,0","0,0","0,0","0,0",945156997.95,0.321893912498
PR,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","632,0","428,0","492.635,0","28.760,0","6.870,0","299.628,0","15.355,0","2.186,0","42.946,0","23.733,0","13.811,0","124.606,0","152,0","3.821,0","0,0","0,0","0,0","0,0",17332.5,"0,0","0,0","0,0","0,0","0,0","0,0",4368311883.42,0.497617431653
RJ,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","1.310,0","0,0","148.672,0","6.990,0","1.641,0","368.181,0","12.204,0","17.462,0","30.139,0","3.094,0",568.5,"66.379,0","109,0","240,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",2676912924.85,0.289252853218
RN,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","27.237,0","1.815,0","51.444,0","2.468,0","9.490,0","81.942,0","2.631,0","7.114,0","5.081,0","3.852,0",1949.5,"27.239,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",868437283.38,0.356505061028
RO,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","20.978,0","837,0","75.584,0","4.816,0","3.335,0","44.647,0","2.800,0","3.749,0","272,0","4.069,0","2.454,0","26.155,0","0,0","3.519,0","0,0","0,0","0,0","0,0","731,0","121,0","142,0","481,0","0,0","0,0","0,0",797340540.85,0.522511237303
RR,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","1,0","65,0","28.381,0","3.503,0","432,0","12.311,0","3.906,0","2.516,0","511,0","815,0","496,0","6.062,0","73,0","13.895,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",408943662.35,0.541739878904
RS,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","184.904,0","13.773,0","226.197,0","16.544,0","14.501,0","254.147,0","7.515,0","2.261,0","22.455,0","23.994,0",12726.5,"71.699,0","0,0","5.384,0","0,0","0,0","0,0","0,0",4909.5,"0,0","269,0","0,0","0,0","0,0","0,0",4112844411.4,0.454318353507
SC,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","96.656,0","6.421,0","159.998,0","10.135,0","7.685,0","175.227,0","5.362,0","9.795,0","10.843,0","8.929,0","4.836,0","31.038,0","0,0","2.375,0","0,0","0,0","0,0","0,0",55.5,"0,0","0,0","0,0","0,0","0,0","0,0",2285156439.97,0.405945140867
SE,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","24.658,0","728,0","41.174,0","1.202,0","1.575,0","52.021,0","3.140,0","6.829,0","568,0","2.187,0",1265.5,"16.632,0","0,0","654,0","0,0","0,0","0,0","0,0","56,0","0,0","0,0","0,0","0,0","0,0","0,0",657511700.47,0.369556264413
SP,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","577.402,0","3.581,0","1.216.663,0","18.319,0","118.762,0","1.223.891,0","15.572,0","53.892,0","60.400,0","40.777,0",17464.5,"208.430,0","0,0","1.553,0","0,0","0,0","0,0","0,0",17324.5,"0,0","0,0","0,0","0,0","0,0","0,0",15848307133.91,0.463236586652
TO,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","7.015,0","709,0","55.758,0","2.734,0","12.793,0","47.835,0","3.005,0","3.679,0","2.037,0","5.668,0",2576.5,"10.784,0","78,0","5.504,0","0,0","0,0","0,0","0,0","48,0","0,0","0,0","0,0","0,0","0,0","0,0",772924990.59,0.45411055577
